source,id,text,researcher,year,aggressive,hate
twitter,-,"@user @user mesmo, tem que ter 2 filhos em 24 territórios a sua escolha....",fortuna et al,2019,1,1
twitter,-,RT @user @user nao paga pau. Ele paga uma mocreia para tirar a zica.,fortuna et al,2019,1,1
twitter,-,"Só pra deixar claro, @user não faz clube do macho, turminha da foda, essas merdas machistas de baitolas recatadas !",fortuna et al,2019,1,1
twitter,-,RT @user pro @user construção se resume a duas coisas: Concreto e madeira.,fortuna et al,2019,1,1
twitter,-,RT @user Um @user eh akele q sabe procriar sem deixar vestigios.,fortuna et al,2019,1,1
twitter,-,"Sugestões para um 2010 melhor: Canonizar a Punheta, a Santa Punheta, a Sagrada Bronha de domingo. Melhor amiga do @user !",fortuna et al,2019,1,1
twitter,-,Sugestões para um 2010 melhor: Colocar Chuck Norris como protagonista da série de TV 24hs!,fortuna et al,2019,0,0
twitter,-,"Sugestões para um 2010 melhor: menos Calcinha Preta nas rádios, aliás, sem calcinha é bem melhor!",fortuna et al,2019,0,0
twitter,-,"""As melhores mulheres são as que querem trepar com você, e as piores são as que não querem."" - Lemmy - Motörhead - @user",fortuna et al,2019,1,1
twitter,-,"Homem de verdade que não sabe desenhar um Pinto, não conhece o pau que tem! Honre seu Pinto!!!!",fortuna et al,2019,1,1
twitter,-,"@user é viver com dignidade, é um conceito em extinção plena ! Aqui tem o foco da resistência!",fortuna et al,2019,0,0
twitter,-,Gostar de mulher sem ter vergonha #twittealgomuitoantigo,fortuna et al,2019,0,0
twitter,-,Heterosexual e homem de verdade #twittealgomuitoantigo,fortuna et al,2019,1,1
twitter,-,Saber pegar sua mulher sem parecer um babaca #twittealgomuitoantigo,fortuna et al,2019,1,1
twitter,-,"Geisy no Fantástico se deu nota 8! Más noticias Geisy, isso é ilegal, a gente é quem tem que dar a nota. E vc é um 4 ruim !",fortuna et al,2019,0,0
twitter,-,"@user os parametros para notas são complexos, em resumo: Marlene Mattos é 0, Monica Bellucci é 10 e vc só pegaria a partir do 5 bom...",fortuna et al,2019,1,1
twitter,-,"@user não fala de boquete, recebe. RT @user """"Liberdade""... significa falar de boquete como quem fala do clima....""",fortuna et al,2019,0,0
twitter,-,Vão comer arroz e feijão seus fdp frescos do caralho !!!!!!,fortuna et al,2019,0,0
twitter,-,RT Um @user RT @user Pra vc que desmaia qdo tira sangue ... Chegou o Plano OdontoMacho: http://307.to/fnj /(via @user,fortuna et al,2019,0,0
twitter,-,"Se o Kassabe fosse @user diria ""A culpa é minha, não fiz projeto algum para as chuvas e de vcs povão porco que não cobra nada""",fortuna et al,2019,0,0
twitter,-,"Sobreviver no Haiti, missão: @user MESMO!",fortuna et al,2019,0,0
twitter,-,@user Vc é @user ? E tem Twitter ?,fortuna et al,2019,1,1
twitter,-,video clipe da semana: http://www.youtube.com/watch?v=IQGhq0IlVok,fortuna et al,2019,0,0
twitter,-,@user usa twitter ? é a pergunta que fazem a todo momento.... !,fortuna et al,2019,0,0
twitter,-,"Claro que sim, é só vc não ser um babaca nerds, um valentão da rede, uma mulher imbecil, um hipster freak ou viciado em celebridades.",fortuna et al,2019,1,1
twitter,-,"A propósito @user não vai a Campus Party, lugar de baitolinhas sem amigos reais!!!! e muito virgem também.",fortuna et al,2019,1,1
twitter,-,@user ? não! homem na metade - http://19.media.tumblr.com/tumblr_ktygckpa2E1qz88eno1_400.jpg,fortuna et al,2019,0,0
twitter,-,"@user não precisa de #lingerieday, puta parada de Barangas-Nerds atrás de rolas virgens! Pra isso tem sites pornôs bem melhores...",fortuna et al,2019,1,1
twitter,-,"#CampusParty! Esse lugar que deve feder espinha azeda que passou da validade, tem menos mulher do que um vale tudo em Juazeiro !",fortuna et al,2019,1,1
twitter,-,"Quando o @user viu o #ipad gritou: Steve!!! Mesa 7, 2 cervejas, 4 copos americanos, uma porção de fritas e outrade calabresa!",fortuna et al,2019,0,0
twitter,-,homem que é homem só conhece dois cheiros de mulher: o bom e o ruim.,fortuna et al,2019,1,1
twitter,-,"não usa camiseta sem manga, a menos que vá malhar ou praticar algum esporte.",fortuna et al,2019,0,0
twitter,-,"""Deus é justo, mas a calça da Carol... MAMÃEEEE!""",fortuna et al,2019,0,0
twitter,-,faz campeonato de peido com os amigos.,fortuna et al,2019,0,0
twitter,-,bebe cana pura e não faz careta.,fortuna et al,2019,0,0
twitter,-,Homem que é homem arrota com suco de laranja.,fortuna et al,2019,1,1
twitter,-,Palavra do dia que homem que é homem não diz: Fragrância.,fortuna et al,2019,1,1
twitter,-,"homem que é homem arrota com suco de laranja, no ouvido da namorada.",fortuna et al,2019,1,1
twitter,-,Homem que é homem só come carne. Peixe é coisa de bixa.,fortuna et al,2019,1,1
twitter,-,faz pontaria em qlq coisa q der na telha com jato de mijo.,fortuna et al,2019,0,0
twitter,-,não lava aquela cueca q acabou de comprar antes de usar,fortuna et al,2019,0,0
twitter,-,Homem que é homem brinca de girocóptero no banheiro da casa da sogra.,fortuna et al,2019,1,1
twitter,-,"conhece três cores: azul, vermelho e amarelo.",fortuna et al,2019,0,0
twitter,-,Homem que é homem come doritos de pimenta com geléia extra-forte de pimenta e guaraná ice.,fortuna et al,2019,1,1
twitter,-,O porteiro é @user RT @user Massagear o EGO de uma mulher não é elogiar sua bunda e seus peitos. Isso o porteiro faz,fortuna et al,2019,0,0
twitter,-,"tem mão de homem, ou seja, com calos.",fortuna et al,2019,1,1
twitter,-,Homem que é homem não assiste a fazenda.,fortuna et al,2019,1,1
twitter,-,"""Musical? kiporréssa?!"" Por um homem que é homem",fortuna et al,2019,1,1
twitter,-,SEXO-CHURRASCO-CERVEJA-DORMIR ! #carnavalem4palavras,fortuna et al,2019,0,0
twitter,-,Homem que é homem não nota o esmalte das mulheres,fortuna et al,2019,1,1
twitter,-,Homem que é homem não come; bebe.,fortuna et al,2019,1,1
twitter,-,Homem que é homem troca o pênis por 1 fígado a mais.,fortuna et al,2019,1,1
twitter,-,não brocha com calcinha bege,fortuna et al,2019,0,0
twitter,-,não sabe que cor é bege,fortuna et al,2019,0,0
twitter,-,@user se não sabe nadar amputa as pernas! Melhor um inválido do que um incompetente.,fortuna et al,2019,1,1
twitter,-,"Sim, eu tenho mais o que fazer do que ficar twittando para seu entretenimento!",fortuna et al,2019,0,0
twitter,-,Manda pro seu amigo franguinha - http://bigassmessage.com/2fef80ca9,fortuna et al,2019,0,0
twitter,-,Feliz dos homens que gostam de mulheres - http://look-look.tumblr.com/,fortuna et al,2019,1,1
twitter,-,Aquelas 130 operárias que foram queimadas dentro da fábrica em 1857 são  @user !  mais que muito bundão covarde sem carater.,fortuna et al,2019,0,0
twitter,-,@user quando vacila assume rapidamente a responsabilidade e paga o erro com humor!,fortuna et al,2019,1,1
twitter,-,Dar risada de si mesmo: @user ! Rir das cagadas alheias melhor ainda ...,fortuna et al,2019,0,0
twitter,-,Essa hora sexta feira @user não vai pra baladinha de vagabundo....Essa hora já demos duas! Agora é só relax...,fortuna et al,2019,1,1
twitter,-,@user cedemos ao encanto e caímos de boca meu caro!,fortuna et al,2019,0,0
twitter,-,Fala ai mariquinhas e afins.... Como vai a falta de culhão para resolver qualquer coisinha ?,fortuna et al,2019,1,1
twitter,-,Agora sim @user pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE,fortuna et al,2019,1,1
twitter,-,@user Perfume pra mão jovem amante.....pra mão. Cappice?,fortuna et al,2019,0,0
twitter,-,"Mesmo a pedidos, me recuso falar do BBB! @user não entra em programinha pra ganhar milhão. A gente ganha na batalha do dia a dia!",fortuna et al,2019,1,1
twitter,-,"Fora que só tem frangas ali. Bombadinhos chiliquentos, gays que exploram suas condições e pedaços de carne para a massa carcerária!",fortuna et al,2019,0,0
twitter,-,Ricky Martin!!!!! Demorou tanto tempo assim pra assumir pq? Tava dando a bunda? É? Não se reprima caralho! Literalmente pra vc....,fortuna et al,2019,0,0
twitter,-,"No futebol, #HQEH é atacante. Acha meio-de-campo coisa de veado.",fortuna et al,2019,1,1
twitter,-,#HQEH não sai mostrando a sua bunda em época de carnaval.,fortuna et al,2019,1,1
twitter,-,#HQEH não pergunta à esposa/namorada onde ela quer ir. Fala pra onde eles vão e pronto.,fortuna et al,2019,1,1
twitter,-,#HQEH acorda cedo pra assistir os jogos da Copa. #worldcup,fortuna et al,2019,1,1
twitter,-,@user esse é o espirito true man!,fortuna et al,2019,0,0
twitter,-,Pra você que não gosta de futebol. Foda-se!!!! Seu mané sem alma.,fortuna et al,2019,0,0
twitter,-,"Aliás, pra que ver futebol na COPA se você não vai acompanhar nada nos próximos 4 anos de novo. Deixe quem gosta ver em paz!",fortuna et al,2019,0,0
twitter,-,Frangas de plantão ! EU VOLTEI !!!!! CHHUUUUUPAAAAAA,fortuna et al,2019,0,0
twitter,-,"Vc é chique benhe
 (@user live on http://twitcam.com/11hdu))",fortuna et al,2019,0,0
twitter,-,"Nossa, não gosto de cameras.. rs (@user live on http://twitcam.com/11hdu))",fortuna et al,2019,0,0
twitter,-,"Tadinho do Goby rsrsrs
 (@user live on http://twitcam.com/11hdu))",fortuna et al,2019,0,0
twitter,-,"Bom, gente, boa twitcam pra todosssss.... CHeirossss (@user live on http://twitcam.com/11hdu))",fortuna et al,2019,0,0
twitter,-,"@user OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...",fortuna et al,2019,0,0
twitter,-,"@user Excelente post, história tb... :)",fortuna et al,2019,0,0
twitter,-,RT @user Obrigado pelo seu apoio e contamos com vc para a divulgação da campanha e as #salvealagoas  e #salvepernambuco,fortuna et al,2019,0,0
twitter,-,"@user kkkkkk massa, né? Pode passar pra frente, claro! Cheiros!",fortuna et al,2019,0,0
twitter,-,Já sentiram q tá tudo errado? Q as pessoas mais importantes acabam s perdendo por erros/inseguranças tuas? #foda Hora de mudar! Boas noites!,fortuna et al,2019,0,0
twitter,-,@user Tá no msn????,fortuna et al,2019,0,0
twitter,-,"@user Nossa, ta chiques rs.. mtos contatos hahaah ta boa?",fortuna et al,2019,0,0
twitter,-,"@user NUsssss, magavilha, heinnn. MAssa esse promo!",fortuna et al,2019,0,0
twitter,-,Com H maiúsculo não tem Twitter. Então você já sabe quem deve ter criado esse perfil.,fortuna et al,2019,0,0
twitter,-,"Não gosta de ""bater papo"" no MSN. Ele responde porque os outros falam. Nem tem tempo pra frescura.",fortuna et al,2019,1,1
twitter,-,"Não ""faz as unhas"" e nem corta com tesoura, corta com o trinco mesmo.",fortuna et al,2019,0,0
twitter,-,"Não usa roupa cor-de-rosa, nem roxo.",fortuna et al,2019,0,0
twitter,-,Não faz a barba todo dia.,fortuna et al,2019,0,0
twitter,-,Não gosta de fazer compras. Faz porque a mulher força.,fortuna et al,2019,1,1
twitter,-,Olha primeiro pros peitos das mulheres.,fortuna et al,2019,1,1
twitter,-,"Gosta de futebol, cerveja e mulheres.",fortuna et al,2019,0,0
twitter,-,"Tem amiga, mas morre de vontade é de comê-las!",fortuna et al,2019,1,1
twitter,-,Eu volteiiii agora pra ficarrrr,fortuna et al,2019,0,0
twitter,-,Convida nui de Sampa! RT @user    Vamos p uma baladinha em sampa??? @user @user @user @user e Lucas,fortuna et al,2019,0,0
twitter,-,"""Ninguém chega em casa falando “mãe, sou hétero”. Então por que tem que chegar e dizer “mãe, sou gay”?” BY @user #epronto",fortuna et al,2019,0,0
twitter,-,"@user Taí.. qria um picolé de carambola. Ou Jambo. #recifefeelings... Mas, o dia, hj, mto trab. E a noite? ""A solidão é fera...""",fortuna et al,2019,0,0
twitter,-,Oxente! Pq? Sou tão santa... rs...RT @user  @user oooooooooo maluca,fortuna et al,2019,0,0
twitter,-,"não! 1 coisa ñ elimina a outra! RT @user @user ain menina tenho entrevista d emprego semana que vem, vou sair da prostituição #rs",fortuna et al,2019,0,0
twitter,-,@user A pimenta comentada na estrevista:  http://twitpic.com/1o2bln,fortuna et al,2019,0,0
twitter,-,Ainda não acredito que não estarei em #Recife dia 24/07 no #oquartosecreto com a @user Serio! Saco! #boloderolofeelings,fortuna et al,2019,0,0
twitter,-,@user Hj tdo mundo preoc c uma colega no escrit que eu sabia q tinha ido fazer entrevista. Eu disfarçando e fazendo a preocupada!,fortuna et al,2019,0,0
twitter,-,Não! Nasceu em 13.12.1978! #Acredite! Meu Apelido de infância: Maria Desastre RT @user    tá pra nascer pessoa mais desastrada que eu.,fortuna et al,2019,0,0
twitter,-,Hj eu vi a @user perguntando p @user no TT como funciona a promoção e a Dona Morangorespondendo como funciona #odiadehoje,fortuna et al,2019,0,0
twitter,-,"@user É sério. Qq dia te relato umas boas. Sou especialista pós-graduada em auto flagelação e me formei em ""desligamento"": exemplo...",fortuna et al,2019,0,0
twitter,-,@user Ex: Só hj percebi que vc que é Promoter do Comunidade Morango. Ainda tô tentando descobrir quem é tua sócia.. #tofalando,fortuna et al,2019,0,0
twitter,-,"@user Aff, que tutorial não é tédio??? ^VÊ um de edição de vídeo que vc entra numa facul de maquiagem",fortuna et al,2019,0,0
twitter,-,"@user Q fodas, hein amigo...",fortuna et al,2019,0,0
twitter,-,"@user É q vc nunca falou comigo Madry, então, fiquei triste quase ligando pro #falaqueeuteescuto pra pedir oração. Agoraestoufeliz",fortuna et al,2019,0,0
twitter,-,"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.",fortuna et al,2019,0,0
twitter,-,"Tá doendo simmm, tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- http://www.youtube.com/watch?v=AjV6YjREKqM",fortuna et al,2019,1,1
twitter,-,"@user Do jeito que sou desastrada, se coloco copo de água em cima da Tv, fico sem! #melhornao #oremospranaoorar",fortuna et al,2019,0,0
twitter,-,@user Começou fala que eu te escuto!!! (Assistir Dr House dá nisso) hahahaha,fortuna et al,2019,0,0
twitter,-,"@user Qq dia te relato umas. Sou pós-graduada em auto-flagelação e m formei em ""desligamento"". Apelido d infancia: Maria Desastre.",fortuna et al,2019,0,0
twitter,-,"É, POR QUÊ? RT @user    Vc me deixou..! pq??",fortuna et al,2019,0,0
twitter,-,"@user Bora fazer um campeonato, Madry? hahaha... Vc podia ser minha mãe, embora ache que não tem idade.. snifff #saudadedemainha",fortuna et al,2019,0,0
twitter,-,"@user Ia dar boa noite, mas, vc ja foi então, boa sexta! hahaha",fortuna et al,2019,0,0
twitter,-,"Boa noite, Lindinhas da noite rs. @user @user @user
@user",fortuna et al,2019,0,0
twitter,-,"Indo dormir ao som de uma linda música, e da crença de que sim, o que é verdadeiro é para sempre. http://bit.ly/afKiXa",fortuna et al,2019,0,0
twitter,-,@user ;) Olha o vídeo que postei agora... e durma bem. Cheiros!,fortuna et al,2019,0,0
twitter,-,"@user Canhão com retorno? Não fale isso pro Felipe Melo, vai que ele se anima... Boa noite! #medofeelings",fortuna et al,2019,0,0
twitter,-,"@user Hello, pois é, mas, estava interagindo... thudhu bom ?",fortuna et al,2019,0,0
twitter,-,"@user NOssa, nem me fale, saudade da esquisita..",fortuna et al,2019,0,0
twitter,-,@user Tb soninho.. e eis que trabalho amanhã. hj é feriado em sampa e tb trabalho rs affff rs,fortuna et al,2019,0,0
twitter,-,"@user Oi, Pssoa.. Tá morando onde aqui em Sampa? #quenaosejanazlmodeon",fortuna et al,2019,0,0
twitter,-,@user que é moita? #nuncafui hehehe,fortuna et al,2019,0,0
twitter,-,"@user eu tb, Aclimação #bemnofocodacomidajaponesa #adoro",fortuna et al,2019,0,0
twitter,-,"@user Constituição de 1932. Porra, nem minha bisavó era nascida em 32. #quequeeutenhoavercomisso",fortuna et al,2019,0,0
twitter,-,@user para de parar. #Contalogotudoquetenhosanguejornalista,fortuna et al,2019,0,0
twitter,-,Pssoa Fina... rsrs RT @user @user jardins,fortuna et al,2019,0,0
twitter,-,"@user Uma galera que se reuniu contra o governo intransigente de  Vargas. Oficialmente min 800 pssoas morreram, cidades bombardeadas",fortuna et al,2019,0,0
twitter,-,"Até que enfim alguém me entende nessa life RT @user Ah, a gente tem que complicar, sim, uma vida totalmente previsível ñ tem graça...",fortuna et al,2019,0,0
twitter,-,"@user Vc conhece a Banda #thecorrs ? #fikdik ""Runaway"", ""No frontiers"" ""At Your Side"".. e por aí vai (AmoMuito)",fortuna et al,2019,0,0
twitter,-,@user Vale MUITO a pena.. Tenho 02 DVDs incríveis. Se morasse em Sp faria-te uma cópia. #thecorrs,fortuna et al,2019,0,0
twitter,-,"Gente, li piadinhas fodas agora.. vou trazer uma, perai",fortuna et al,2019,0,0
twitter,-,@user Quer uma dica meio trash pra aumentar a galera do show? #Trashquefunciona >> Bate Papo UOL salas de minas. Da uma divulgada!,fortuna et al,2019,0,0
twitter,-,"@user Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?",fortuna et al,2019,0,0
twitter,-,"@user Sei lá, inventei agora.. #catita hahaha",fortuna et al,2019,0,0
twitter,-,"@user Oi, cara-metade do desastre mor... dei umas fuçadas hj no blog!",fortuna et al,2019,0,0
twitter,-,"@user Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne",fortuna et al,2019,0,0
twitter,-,"@user Nem eu, amiga.. nem eu. e como ela diz: #eavidasegue",fortuna et al,2019,0,0
twitter,-,"@user O blog é uma dilicinha.. ja conhecia sim, vou comentar amanha... hj tô de bode, sozinha e abandonada em sampa rs",fortuna et al,2019,0,0
twitter,-,"@user vcs moram por onde? Eu moro na Aclimação, perto da Liberdade, Vergueiro, Paraíso...",fortuna et al,2019,0,0
twitter,-,"@user morava no Jabaquara, comprava num açougue massa na Av Sta Catarina, só lá tinha a seleta de legumes que eu amava... sniff",fortuna et al,2019,0,0
twitter,-,"Galera, tenho umas fotos pra mostrar de terça, quando a sra @user deu entrevista pra uma revista com vestido micro.. querem?",fortuna et al,2019,0,0
twitter,-,@user Eu amo esse bairro e adivinha? abriu uma temakeria do lado de casa hahaha #falenciafeelings,fortuna et al,2019,0,0
twitter,-,As 03 mosqueteiras! A @user e a @user não se livraram de perguntinhas básicas! #vermelhidaonorosto http://twitpic.com/23v5hn,fortuna et al,2019,0,0
twitter,-,"@user Ou seja, faltam 0:55 min.. rs",fortuna et al,2019,0,0
twitter,-,Pssoas incríveis que só comem no Spoletto. rs. http://twitpic.com/23v6gt,fortuna et al,2019,0,0
twitter,-,E o chamado Cãomor junto com uma repórter cara de sono... rs. Mto legal! http://twitpic.com/23v73c,fortuna et al,2019,0,0
twitter,-,@user Viu as fotos que postei?,fortuna et al,2019,0,0
twitter,-,Vou fazer uma comidinha pernambucana agora... quem quer?? ;),fortuna et al,2019,0,0
twitter,-,"Chega, sem som e sem imagem não dá, né? Xerus (@user live on http://twitcam.com/14790))",fortuna et al,2019,0,0
twitter,-,"@user SOu nada, faço o básico hahaha",fortuna et al,2019,0,0
twitter,-,"@user Taí, sou ótima com sobremesas, doces, bolos...",fortuna et al,2019,0,0
twitter,-,#medo da @user vindo pra Sppp rs....,fortuna et al,2019,0,0
twitter,-,"Gente, quem tá no pique de um JV??? Coisa leve.. Ou não! rsrsrs",fortuna et al,2019,0,0
twitter,-,"#rilitros RT @user @user se eu tivesse na Liquid Love, iria participar da Promoção ME INFARTA MORANGO, kkkkkkk #passomal",fortuna et al,2019,0,0
twitter,-,"@user OI! Sugeri um JV e ninguém me deu bola... tá afim? vc te mais moral que eu, vem mais gente. rsrsrs",fortuna et al,2019,0,0
twitter,-,"@user Gosto não, acho ela bonita nao, nem nada nao... huahahaauahauhau",fortuna et al,2019,0,0
twitter,-,"@user hahahaha, #brincadeirinhaboba rs tb acho",fortuna et al,2019,0,0
twitter,-,"@user Eu tb, mas, sou uma futurarecemsolteiraaindaapaixonada #foda rs",fortuna et al,2019,0,0
twitter,-,"@user Own gata, depende só de mim não.. nem dela.. mas, vamos ver o que o futuro nos reserva... E tu? és solteira???",fortuna et al,2019,0,0
twitter,-,"@user Puts, complicado... Mas, ele respeita tuas sensações? Se sim, ótimo. Tem que ver então como ele encara isso.. Seicomoé",fortuna et al,2019,0,0
twitter,-,"@user Normalll.. imagina a situação da pssoa tb ne, fodas...",fortuna et al,2019,0,0
twitter,-,uia RT @user    @user Fia nem te conto o que tô fazendo..rsss,fortuna et al,2019,0,0
twitter,-,"E ele é a cara do meu querido amigoo ex-patrão @user RT @user Um dos melhores escritores do país, Fabrício @user no Jô! =)",fortuna et al,2019,0,0
twitter,-,"@user Eu! Tive problemas sérios! Pq meu cabelo era crespo. Diziam que eu tinha piolho e isso causou traumas, acredita?",fortuna et al,2019,0,0
twitter,-,"@user Bem exagerado, fui váarias vezes pra secretaria. Comecei alisar o cabelo na adolescencia, Hj queria te-los cacheados e nao posso",fortuna et al,2019,0,0
twitter,-,@user Minha vingança branca é que hj tô melhor (aparencia) que todas que me magoaram.. rs.,fortuna et al,2019,0,0
twitter,-,"@user Tive um problema esses tempos sim, que acho que foi reflexo... mas, é longa a historia pra contar aqui.. foi bem complicado.",fortuna et al,2019,0,0
twitter,-,"@user Puts,o @user não é gay... Legal a gente ver que as aparências enganam e não fazem a MENOR diferença. #namoradalinda",fortuna et al,2019,0,0
twitter,-,"Hahaha, ""esse moço"" foi ótimo! Só o @user RT @user RINDO MUITO com esse moço que ta no Jo!",fortuna et al,2019,0,0
twitter,-,Acho que vou pegar carona com a @user e mimir,fortuna et al,2019,0,0
twitter,-,PQP o @user tá me fudendo com essas verdades absolutas!!! #genio,fortuna et al,2019,0,0
twitter,-,"@user Oww, linda.. trabalho amanhã =/ dó",fortuna et al,2019,0,0
twitter,-,"Gente, tá ABSURDAAAA a briga Jô Soares X @user huahahhuahau",fortuna et al,2019,0,0
twitter,-,@user E o sono... rs. Cheiros. Tb adorei!,fortuna et al,2019,0,0
twitter,-,"Alguem aí quer peixe? Pq eu já pesquei vários aqui....
Cheiros a todasssss",fortuna et al,2019,0,0
twitter,-,"Owww, esquisita, @user a @user tá te imitando com tt pala hahaha",fortuna et al,2019,0,0
twitter,-,Te amo perdidamente mais agora! RT @user    QUAL A GRAÇA DE TER 5846844360681615 FOLLOWERS SE SEUS TWEETS SÃO UMA MERDA????,fortuna et al,2019,0,0
twitter,-,@user Num dá vontade de fazer um comentário desaforado pra essa menina? http://twitpic.com/23v6gt Acho que vou fazer!,fortuna et al,2019,0,0
twitter,-,"@user Verdade.. gosto dos meus pouquinhos, mas, que interagem...",fortuna et al,2019,0,0
twitter,-,Prezada @user Quando 2 pessoas usam o mesmo computador pode acontecer de uma postar na twitcam c o perfil errado. (@user,fortuna et al,2019,0,0
twitter,-,@user Certamente aconteceu isso quando a @user postou o comentario c a ID da @user http://twitpic.com/23v6gt,fortuna et al,2019,0,0
twitter,-,@user Pouco que conheço daqui e do BBB me fizeram ter certeza de que a @user jamais mentiria aqui... (@user,fortuna et al,2019,0,0
twitter,-,"@user Então, reflita no teu comentntário, friend. E não esotu justificando ou defendendo pq é famosa. Faria com qq Pssoa! Abç",fortuna et al,2019,0,0
twitter,-,SAbem o que eu descobri??? Uma pessoa Acróstica! Adivinhem quem é??? hahahah,fortuna et al,2019,0,0
twitter,-,Tenho tanto medo de avião que quando ele passa lá em cima meu coração acelera... Afff,fortuna et al,2019,0,0
twitter,-,"Cara, isso não é um sonho??? #cocolatraassumidamodeon http://twitpic.com/24exzc",fortuna et al,2019,0,0
twitter,-,@user Tem galinha gisada? ahhh me convidaaaaaaaaaaaa rsrs #saudadedepernambuco,fortuna et al,2019,0,0
twitter,-,#atoron RT @user Se bem que podemos mesclar..uma bela espanhola numa linda holandesa...rsrsrs!,fortuna et al,2019,1,1
twitter,-,"Olá, Gatas (e gato hahaha) @user  @user @user @user @user @user @user @user @user",fortuna et al,2019,0,0
twitter,-,"@user que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!",fortuna et al,2019,0,0
